"car","mpg","hp","transmission","gear"
"Mazda RX4",21,110,1,4
"Mazda RX4 Wag",21,110,1,4
"Datsun 710",22.8,93,1,4
"Hornet 4 Drive",21.4,110,0,3
"Hornet Sportabout",18.7,175,0,3
"Valiant",18.1,105,0,3
"Duster 360",14.3,245,0,3
"Merc 240D",24.4,62,0,4
"Merc 230",22.8,95,0,4
"Merc 280",19.2,123,0,4
"Merc 280C",17.8,123,0,4
"Merc 450SE",16.4,180,0,3
"Merc 450SL",17.3,180,0,3
"Merc 450SLC",15.2,180,0,3
"Cadillac Fleetwood",10.4,205,0,3
"Lincoln Continental",10.4,215,0,3
"Chrysler Imperial",14.7,230,0,3
"Fiat 128",32.4,66,1,4
"Honda Civic",30.4,52,1,4
"Toyota Corolla",33.9,65,1,4
"Toyota Corona",21.5,97,0,3
"Dodge Challenger",15.5,150,0,3
"AMC Javelin",15.2,150,0,3
"Camaro Z28",13.3,245,0,3
"Pontiac Firebird",19.2,175,0,3
"Fiat X1-9",27.3,66,1,4
"Porsche 914-2",26,91,1,5
"Lotus Europa",30.4,113,1,5
"Ford Pantera L",15.8,264,1,5
"Ferrari Dino",19.7,175,1,5
"Maserati Bora",15,335,1,5
"Volvo 142E",21.4,109,1,4
